Calendar Date,Date,Sony Change,Market Change,Dow Change,Small-Big,High-Low
1/31/1995,1995,-16.6784,1.62,-0.1743318,-2.94,1.73
2/28/1995,1995.08333,-7.5809,3.5613,3.94953406,-0.31,0.38
3/31/1995,1995.16667,12.2483,2.2441,3.19590057,-0.31,-2.05
4/28/1995,1995.25,3.6521,2.0648,3.49439626,-0.37,1.75
5/31/1995,1995.33333,-4.2255,2.8607,2.78934531,-2.2,1.94
6/30/1995,1995.41667,-1.4904,2.6473,1.56711418,3.06,-2.97
7/31/1995,1995.5,11.4057,3.6283,2.89430763,2.17,-2.21
8/31/1995,1995.58333,1.1429,0.4606,-2.5494441,1.83,1.85
9/29/1995,1995.66667,-4.0676,3.2062,3.44198084,-2.01,-0.92
10/31/1995,1995.75,-13.9452,-1.6018,-1.1715961,-3.96,-0.07
11/30/1995,1995.83333,17.3396,3.8505,6.28826079,-0.86,0.37
12/29/1995,1995.91667,13.4311,1.029,0.35008442,0.42,1.33
1/31/1996,1996,0.5883,2.3846,5.00626102,-2.46,0.33
2/29/1996,1996.08333,-6.0352,1.2409,1.28404964,2.06,-2.18
3/29/1996,1996.16667,3.8579,0.7029,1.46065681,1.29,1.28
4/30/1996,1996.25,5.7128,2.0909,-0.7832423,4.89,-3.96
5/31/1996,1996.33333,-1.0014,2.26,0.91056088,3.23,-1.36
6/28/1996,1996.41667,2.7189,-1.2299,-0.1971002,-3.66,1.95
7/31/1996,1996.5,-3.6636,-5.8319,-2.6733108,-3.57,4.39
8/30/1996,1996.58333,-1.5819,2.8364,1.16897307,2.31,-0.59
9/30/1996,1996.66667,0.4585,4.8614,4.29557791,-0.79,-3.8
10/31/1996,1996.75,-5.7245,0.9432,2.08264783,-4.1,4.86
11/29/1996,1996.83333,6.8514,6.1401,7.75535033,-3.54,0.21
12/31/1996,1996.91667,1.0874,-1.5958,-1.5859334,3.13,0.94
1/31/1997,1997,2.2167,4.8949,5.20764151,-1.49,-2.32
2/28/1997,1997.08333,7.0312,-0.5044,0.55890864,-2.53,4.76
3/31/1997,1997.16667,-4.6351,-4.912,-4.7084403,-0.33,3.89
4/30/1997,1997.25,5.7183,3.8003,6.03329905,-5.14,-1.02
5/30/1997,1997.33333,15.694,6.6724,4.10481323,4.8,-4.37
6/30/1997,1997.41667,2.8558,4.0445,4.29168511,1.52,0.7
7/31/1997,1997.5,15.266,7.2203,6.73584189,-2.44,-0.42
8/29/1997,1997.58333,-13.8538,-4.0367,-7.7092639,7.48,1.03
9/30/1997,1997.66667,6.3884,5.4033,3.79540031,2.68,-0.28
10/31/1997,1997.75,-10.5996,-3.8728,-6.7530841,-0.86,2.33
11/28/1997,1997.83333,-1.427,2.6558,4.73020833,-4.99,1.01
12/31/1997,1997.91667,8.2026,1.2971,0.60805555,-2.33,3.82
1/30/1998,1998,3.0135,0.0229,-0.4521288,-1.01,-1.8
2/27/1998,1998.08333,-4.0518,6.933,7.6947404,0.24,-0.72
3/31/1998,1998.16667,-6.0735,4.7422,2.58330125,-1.18,1.63
4/30/1998,1998.25,-0.577,0.6562,2.56506467,0.43,0.33
5/29/1998,1998.33333,-1.7245,-2.9755,-2.2030821,-3.57,4.34
6/30/1998,1998.41667,2.2746,2.7854,0.17505947,-3.21,-1.85
7/31/1998,1998.5,-1.6346,-2.7264,-1.1677597,-4.92,-1.15
8/31/1998,1998.58333,-17.2682,-16.1967,-15.562006,-5.71,5.15
9/30/1998,1998.66667,-3.0276,5.9236,3.56635869,-0.17,-3.89
10/30/1998,1998.75,-4.4146,7.1157,9.23650025,-3.21,-2.67
11/30/1998,1998.83333,10.6957,5.8886,5.79386285,1.18,-3.29
12/31/1998,1998.91667,-1.9185,5.9253,0.33167273,-0.35,-4.88
1/29/1999,1999,1.1257,3.4846,1.58216089,0.68,-5.45
2/26/1999,1999.08333,1.8741,-4.1605,-0.9082963,-5.75,1.75
3/31/1999,1999.16667,22.0627,3.3562,4.72312822,-3.88,-2.89
4/30/1999,1999.25,0.9305,4.53,9.87794199,3.31,2.43
5/28/1999,1999.33333,0.6735,-2.412,-2.4653049,3.7,2.64
6/30/1999,1999.41667,17.7271,4.702,3.49270948,3.34,-4.22
7/30/1999,1999.5,13.0402,-3.4435,-3.2571831,2.16,0.61
8/31/1999,1999.58333,1.3075,-1.3883,1.24423321,-1.26,-0.92
9/30/1999,1999.66667,17.6312,-2.6767,-4.9362856,3.3,-3.12
10/29/1999,1999.75,6.0656,5.8148,3.41102448,-6.72,-3.32
11/30/1999,1999.83333,14.9373,3.3256,1.01886235,7.67,-7.95
12/31/1999,1999.91667,54.1579,7.9525,5.25333349,6.79,-8.98
1/31/2000,2000,-11.5601,-4.3853,-5.2511254,4.45,0.2
2/29/2000,2000.08333,23.483,2.747,-7.8539548,21.96,-12.4
3/31/2000,2000.16667,-11.0418,4.8852,7.36556191,-16.79,8.12
4/28/2000,2000.25,-19.9156,-6.4067,-2.1814006,-7.5,9.05
5/31/2000,2000.33333,-19.669,-4.4047,-2.4711363,-4.91,3.93
6/30/2000,2000.41667,3.027,4.7649,-1.1074479,13.77,-9.86
7/31/2000,2000.5,-0.8776,-2.1905,0.2291384,-2.76,8.41
8/31/2000,2000.58333,21.1234,7.0811,6.08735333,-0.97,-1.4
9/29/2000,2000.66667,-12.0747,-5.6239,-5.5405392,-1.8,6.94
10/31/2000,2000.75,-18.3309,-3.0164,2.44650085,-3.65,5
11/30/2000,2000.83333,-10.751,-10.7646,-5.5837663,-3.16,12.45
12/29/2000,2000.91667,-7.2114,1.5346,3.0863494,1.51,6.27
1/31/2001,2001,5.2873,3.4133,0.38111691,6.98,-5.73
2/28/2001,2001.08333,-3.1636,-10.3167,-3.9912403,-1.11,13.85
3/30/2001,2001.16667,0.718,-7.469,-6.3140691,0.63,6.36
4/30/2001,2001.25,5.7,8.0004,8.2769609,0.25,-4.62
5/31/2001,2001.33333,1.5717,0.7361,1.32853744,2.95,2.78
6/29/2001,2001.41667,-16.029,-2.0281,-4.0331365,6.49,-2.08
7/31/2001,2001.5,-25.0416,-2.1321,-0.1056635,-4.18,5.47
8/31/2001,2001.58333,-9.6396,-6.218,-5.7558838,2.13,3.36
9/28/2001,2001.66667,-26.1096,-9.434,-11.357565,-6.49,1.61
10/31/2001,2001.75,14.8402,2.5767,2.3522346,6.84,-7.04
11/30/2001,2001.83333,24.6991,7.7034,8.3854603,0.4,0.87
12/31/2001,2001.91667,-5.6007,1.6341,1.57571654,5.08,0.38
1/31/2002,2002,-0.8939,-1.746,-1.1535139,1.11,3.53
2/28/2002,2002.08333,3.0872,-2.3005,1.74631048,-1.69,3.94
3/28/2002,2002.16667,11.9933,4.3393,2.81682534,4.35,1.09
4/30/2002,2002.25,4.6856,-5.1149,-4.5494871,5.78,4.23
5/31/2002,2002.33333,7.074,-1.1858,-0.3508339,-3.69,2.37
6/28/2002,2002.41667,-8.7516,-7.1543,-7.0012627,3.5,1.55
7/31/2002,2002.5,-14.7828,-8.2637,-5.6315076,-5.11,-3.7
8/30/2002,2002.58333,-4.155,0.6584,-0.9765964,-2.17,2.15
9/30/2002,2002.66667,-5.4447,-10.1375,-12.508789,2.73,1.13
10/31/2002,2002.75,5.0668,7.3558,10.4646816,-2.99,-6.57
11/29/2002,2002.83333,2.4471,6.0076,5.82329185,3.16,-1.52
12/31/2002,2002.91667,-6.9646,-5.4409,-6.3426258,-0.54,3.85
1/31/2003,2003,-3.3922,-2.443,-3.5504048,1.37,-0.84
2/28/2003,2003.08333,-5.0462,-1.6308,-2.1105344,-0.35,-1.54
3/31/2003,2003.16667,-7.302,0.9333,1.18055982,0.88,-1.71
4/30/2003,2003.25,-29.6759,8.1797,6.00550629,1.21,-0.08
5/30/2003,2003.33333,10.4193,6.2607,4.27516594,4.71,0.27
6/30/2003,2003.41667,2.314,1.5332,1.42741275,1.47,0.64
7/31/2003,2003.5,11.3586,2.243,2.69402714,5.64,-2.11
8/29/2003,2003.58333,5.539,2.4208,1.90123611,2.64,1.78
9/30/2003,2003.66667,5.8596,-0.9902,-1.5749309,0.56,0.99
10/31/2003,2003.75,1.0794,5.9631,5.60176924,2.91,1.75
11/28/2003,2003.83333,-2.4848,1.5907,-0.2603864,2.22,1.39
12/31/2003,2003.91667,0.8516,4.4732,6.78391766,-2.87,2.76
1/30/2004,2004,17.1784,2.2364,0.25667172,2.6,1.66
2/27/2004,2004.08333,0.6534,1.4867,0.8538955,-1.2,0.37
3/31/2004,2004.16667,2.3113,-1.1585,-2.2273933,1.85,-0.01
4/30/2004,2004.25,-8.2359,-2.503,-1.3556693,-2.53,-1.69
5/28/2004,2004.33333,-4.0444,1.3527,-0.4230115,-0.12,-0.31
6/30/2004,2004.41667,3.1204,2.0763,2.34460826,2.25,1.72
7/30/2004,2004.5,-9.0356,-3.8681,-2.9342731,-3.82,4.42
8/31/2004,2004.58333,-0.0523,0.1614,0.22738637,-1.56,1.13
9/30/2004,2004.66667,-0.5889,1.9455,-1.0304908,2.82,0.4
10/29/2004,2004.75,1.2276,1.671,-0.6337955,0.49,-0.95
11/30/2004,2004.83333,4.1829,4.6743,3.84452703,4.11,1.96
12/31/2004,2004.91667,6.9907,3.358,3.2441937,0.18,-0.35
1/31/2005,2005,-5.1395,-2.8157,-2.8778867,-1.67,2.52
2/28/2005,2005.08333,1.92,2.1095,2.47385682,-0.76,2.85
3/31/2005,2005.16667,6.0075,-1.9037,-2.6479007,-1.37,1.71
4/29/2005,2005.25,-8.4809,-2.7282,-3.1732246,-3.95,-0.49
5/31/2005,2005.33333,1.2855,3.5516,2.45776532,3.01,-1.16
6/30/2005,2005.41667,-7.8232,0.9231,-2.0691246,2.58,2.84
7/29/2005,2005.5,-5.844,4.0931,3.32147025,2.77,-0.47
8/31/2005,2005.58333,3.1143,-0.8943,-1.7971464,-0.88,1.44
9/30/2005,2005.66667,-1.233,0.7709,0.54098,-0.65,1.23
10/31/2005,2005.75,-1.4451,-2.3484,-1.4870844,-1.05,-0.74
11/30/2005,2005.83333,12.5254,3.7306,3.19380792,0.99,-1.75
12/30/2005,2005.91667,9.9205,0.0276,-1.1377963,-0.47,0.51
1/31/2006,2006,19.5029,3.6612,1.02494752,5.33,1.18
2/28/2006,2006.08333,-4.4709,-0.5044,0.84317217,-0.31,-0.76
3/31/2006,2006.16667,-1.8706,1.536,0.68435893,3.51,0.04
4/28/2006,2006.25,5.8696,0.9368,1.96075411,-1.22,3.07
5/31/2006,2006.33333,-8.1333,-3.5342,-2.1791647,-3,2.75
6/30/2006,2006.41667,-2.9017,-0.4396,-0.5619762,-0.47,1.51
7/31/2006,2006.5,4.0278,-0.5902,-0.0819794,-3.9,3.25
8/31/2006,2006.58333,-6.0299,2.0885,1.32750216,0.8,-1.66
9/29/2006,2006.66667,-7.1905,1.5352,2.20766166,-1.21,-0.49
10/31/2006,2006.75,1.1262,3.2986,3.0291437,1.68,0.49
11/30/2006,2006.83333,-4.2511,1.9516,0.74880354,0.7,0.39
12/29/2006,2006.91667,8.278,0.6823,1.57366537,-0.93,2.56
1/31/2007,2007,7.7318,1.5038,0.83207006,0.02,0
2/28/2007,2007.08333,11.2755,-1.7798,-3.1772482,1.38,0.32
3/30/2007,2007.16667,-2.6212,0.8649,0.26869252,-0.2,0.31
4/30/2007,2007.25,5.0462,3.5493,5.29530781,-2.06,-1.08
5/31/2007,2007.33333,7.9265,3.4794,3.91315617,-0.05,-0.23
6/29/2007,2007.41667,-11.3705,-1.8758,-2.0071748,0.69,-1.07
7/31/2007,2007.5,2.2669,-3.5753,-1.8664447,-2.74,-3.01
8/31/2007,2007.58333,-9.8246,0.7423,0.68316463,-0.09,-2.42
9/28/2007,2007.66667,0.4919,3.7703,3.70680394,-2.47,-2.1
10/31/2007,2007.75,2.593,2.2642,-0.0725841,0.07,-1.97
11/30/2007,2007.83333,8.7785,-5.2679,-4.347822,-2.72,-0.88
12/31/2007,2007.91667,0.3414,-0.7042,-1.0694484,0.06,-0.02
1/31/2008,2008,-12.733,-6.4405,-4.8422528,-0.76,3.13
2/29/2008,2008.08333,-0.7405,-2.334,-3.1652496,-0.67,0.04
3/31/2008,2008.16667,-15.0414,-1.217,-0.1985333,0.87,0.26
4/30/2008,2008.25,14.105,4.9444,4.37411644,-1.6,0.08
5/30/2008,2008.33333,9.8759,2.2125,-1.5881603,2.8,-0.3
6/30/2008,2008.41667,-13.3671,-8.0325,-10.363681,0.91,-0.93
7/31/2008,2008.5,-14.0275,-1.465,0.09678392,3.89,3.57
8/29/2008,2008.58333,1.287,0.9842,1.33482254,3.66,1.65
9/30/2008,2008.66667,-18.6051,-9.956,-6.1523996,-0.2,4.37
10/31/2008,2008.75,-24.7966,-18.5526,-14.140435,-2.05,-3.14
11/28/2008,2008.83333,-16.6293,-8.5406,-5.3387074,-3.46,-5.09
12/31/2008,2008.91667,12.7583,2.0582,-0.6863276,4.04,-1.2
